Start	Stop	Orientation	Length	LocusID	Class	Product	Note	SignalPeptide
412879	413054	+	176	Amuc_0348--Amuc_0349	intergenic	intergenic	-	-
414919	415129	+	211	Amuc_0350--Amuc_0351	intergenic	intergenic	-	-
415955	415973	+	19	Amuc_0351--Amuc_0352	intergenic	intergenic	-	-
416805	416874	+	70	Amuc_0352--Amuc_0353	intergenic	intergenic	-	-
417904	417914	+	11	Amuc_0353--Amuc_0354	intergenic	intergenic	-	-
419205	419402	+	198	Amuc_0354--Amuc_0355	intergenic	intergenic	-	-
419919	419946	+	28	Amuc_0355--Amuc_0356	intergenic	intergenic	-	-
420430	420592	+	163	Amuc_0356--Amuc_0357	intergenic	intergenic	-	-
421646	421700	+	55	Amuc_0357--Amuc_0358	intergenic	intergenic	-	-
423437	423449	+	13	Amuc_0359--Amuc_0360	intergenic	intergenic	-	-
424005	424203	+	199	Amuc_0360--Amuc_0361	intergenic	intergenic	-	-
427789	427931	+	143	Amuc_0361--Amuc_0362	intergenic	intergenic	-	-
428355	428589	+	235	Amuc_0362--Amuc_0363	intergenic	intergenic	-	-
431013	431013	+	1	Amuc_0364--Amuc_0365	intergenic	intergenic	-	-
433437	433635	+	199	Amuc_0366--Amuc_0367	intergenic	intergenic	-	-
435424	435593	+	170	Amuc_0367--Amuc_0368	intergenic	intergenic	-	-
436449	436605	+	157	Amuc_0368--Amuc_0369	intergenic	intergenic	-	-
438604	438942	+	339	Amuc_0369--Amuc_0370	intergenic	intergenic	-	-
439474	439475	+	2	Amuc_0370--Amuc_0371	intergenic	intergenic	-	-
442053	443236	+	1184	Amuc_0371--Amuc_0372	intergenic	intergenic	-	-
444638	445288	+	651	Amuc_0372--Amuc_0373	intergenic	intergenic	-	-
445853	445856	+	4	Amuc_0373--Amuc_0374	intergenic	intergenic	-	-
449382	449413	+	32	Amuc_0374--Amuc_0375	intergenic	intergenic	-	-
450461	450547	+	87	Amuc_0375--Amuc_0376	intergenic	intergenic	-	-
451193	451217	+	25	Amuc_0376--Amuc_0377	intergenic	intergenic	-	-
451893	451919	+	27	Amuc_0377--Amuc_0378	intergenic	intergenic	-	-
452613	452679	+	67	Amuc_0378--Amuc_0379	intergenic	intergenic	-	-
454984	455053	+	70	Amuc_0379--Amuc_0380	intergenic	intergenic	-	-
457711	457993	+	283	Amuc_0381--Amuc_0382	intergenic	intergenic	-	-
460139	461020	+	882	Amuc_0382--Amuc_0383	intergenic	intergenic	-	-
461276	461376	+	101	Amuc_0383--Amuc_0384	intergenic	intergenic	-	-
462875	462975	+	101	Amuc_0385--Amuc_0386	intergenic	intergenic	-	-
471049	471189	+	141	Amuc_0388--Amuc_0389	intergenic	intergenic	-	-
471988	472001	+	14	Amuc_0389--Amuc_0390	intergenic	intergenic	-	-
472584	472593	+	10	Amuc_0390--Amuc_0391	intergenic	intergenic	-	-
473272	473408	+	137	Amuc_0391--Amuc_0392	intergenic	intergenic	-	-
475539	475588	+	50	Amuc_0392--Amuc_0393	intergenic	intergenic	-	-
475982	476126	+	145	Amuc_0393--Amuc_0394	intergenic	intergenic	-	-
476886	477077	+	192	Amuc_0394--Amuc_0395	intergenic	intergenic	-	-
477891	477907	+	17	Amuc_0395--Amuc_0396	intergenic	intergenic	-	-
479324	479335	+	12	Amuc_0396--Amuc_0397	intergenic	intergenic	-	-
481505	481698	+	194	Amuc_0397--Amuc_0398	intergenic	intergenic	-	-
482341	482352	+	12	Amuc_0398--Amuc_0399	intergenic	intergenic	-	-
483359	483480	+	122	Amuc_0400--Amuc_0401	intergenic	intergenic	-	-
484078	484126	+	49	Amuc_0401--Amuc_0402	intergenic	intergenic	-	-
484450	484495	+	46	Amuc_0402--Amuc_0403	intergenic	intergenic	-	-
485150	485178	+	29	Amuc_0403--Amuc_0404	intergenic	intergenic	-	-
486025	486134	+	110	Amuc_0404--Amuc_0405	intergenic	intergenic	-	-
486771	486809	+	39	Amuc_0405--Amuc_0406	intergenic	intergenic	-	-
487848	487907	+	60	Amuc_0406--Amuc_0407	intergenic	intergenic	-	-
490528	490755	+	228	Amuc_0409--Amuc_0410	intergenic	intergenic	-	-
491416	492112	+	697	Amuc_0410--Amuc_0411	intergenic	intergenic	-	-
493556	493838	+	283	Amuc_0411--Amuc_0412	intergenic	intergenic	-	-
493971	494072	+	102	Amuc_0412--Amuc_0413	intergenic	intergenic	-	-
496626	496853	+	228	Amuc_0415--Amuc_0416	intergenic	intergenic	-	-
497106	497189	+	84	Amuc_0416--Amuc_0417	intergenic	intergenic	-	-
498471	498522	+	52	Amuc_0417--Amuc_0418	intergenic	intergenic	-	-
499582	499799	+	218	Amuc_0418--Amuc_0419	intergenic	intergenic	-	-
501762	502095	+	334	Amuc_0419--Amuc_0420	intergenic	intergenic	-	-
503614	504132	+	519	Amuc_0420--Amuc_0421	intergenic	intergenic	-	-
505813	505831	+	19	Amuc_0421--Amuc_0422	intergenic	intergenic	-	-
507035	507053	+	19	Amuc_0422--Amuc_0423	intergenic	intergenic	-	-
507543	507570	+	28	Amuc_0423--Amuc_0424	intergenic	intergenic	-	-
508456	508469	+	14	Amuc_0424--Amuc_0425	intergenic	intergenic	-	-
509319	509336	+	18	Amuc_0425--Amuc_0426	intergenic	intergenic	-	-
510417	510516	+	100	Amuc_0426--Amuc_0427	intergenic	intergenic	-	-
511972	512363	+	392	Amuc_0427--Amuc_0428	intergenic	intergenic	-	-
513192	513343	+	152	Amuc_0428--Amuc_0429	intergenic	intergenic	-	-
515199	515310	+	112	Amuc_0430--Amuc_0431	intergenic	intergenic	-	-
518063	518184	+	122	Amuc_0433--Amuc_0434	intergenic	intergenic	-	-
519106	519247	+	142	Amuc_0434--Amuc_0435	intergenic	intergenic	-	-
520133	520257	+	125	Amuc_0435--Amuc_0436	intergenic	intergenic	-	-
521026	521155	+	130	Amuc_0436--Amuc_0437	intergenic	intergenic	-	-
521768	521802	+	35	Amuc_0437--Amuc_0438	intergenic	intergenic	-	-
522355	522387	+	33	Amuc_0438--Amuc_0439	intergenic	intergenic	-	-
522766	522883	+	118	Amuc_0439--Amuc_0440	intergenic	intergenic	-	-
523946	524047	+	102	Amuc_0440--Amuc_0441	intergenic	intergenic	-	-
527205	527764	+	560	Amuc_0443--Amuc_0444	intergenic	intergenic	-	-
528689	528746	+	58	Amuc_0444--Amuc_0445	intergenic	intergenic	-	-
529869	529943	+	75	Amuc_0445--Amuc_0446	intergenic	intergenic	-	-
531030	531099	+	70	Amuc_0446--Amuc_0447	intergenic	intergenic	-	-
531481	531575	+	95	Amuc_0447--Amuc_0448	intergenic	intergenic	-	-
534423	534678	+	256	Amuc_0448--Amuc_0449	intergenic	intergenic	-	-
535744	535774	+	31	Amuc_0449--Amuc_0450	intergenic	intergenic	-	-
536408	536415	+	8	Amuc_0450--Amuc_0451	intergenic	intergenic	-	-
538576	538993	+	418	Amuc_0451--Amuc_0452	intergenic	intergenic	-	-
540809	541000	+	192	Amuc_0452--Amuc_0453	intergenic	intergenic	-	-
541805	541814	+	10	Amuc_0453--Amuc_0454	intergenic	intergenic	-	-
543354	543374	+	21	Amuc_0454--Amuc_0455	intergenic	intergenic	-	-
544353	544591	+	239	Amuc_0455--Amuc_0456	intergenic	intergenic	-	-
545054	545156	+	103	Amuc_0456--Amuc_0457	intergenic	intergenic	-	-
546159	546221	+	63	Amuc_0457--Amuc_0458	intergenic	intergenic	-	-
548142	548174	+	33	Amuc_0458--Amuc_0459	intergenic	intergenic	-	-
548775	548881	+	107	Amuc_0459--Amuc_0460	intergenic	intergenic	-	-
549404	549409	+	6	Amuc_0460--Amuc_0461	intergenic	intergenic	-	-
550286	550396	+	111	Amuc_0461--Amuc_0462	intergenic	intergenic	-	-
550766	550778	+	13	Amuc_0462--Amuc_0463	intergenic	intergenic	-	-
551319	551337	+	19	Amuc_0463--Amuc_0464	intergenic	intergenic	-	-
551968	551988	+	21	Amuc_0464--Amuc_0465	intergenic	intergenic	-	-
553033	553039	+	7	Amuc_0465--Amuc_0466	intergenic	intergenic	-	-
555695	555712	+	18	Amuc_0466--Amuc_0467	intergenic	intergenic	-	-
557057	557271	+	215	Amuc_0467--Amuc_0468	intergenic	intergenic	-	-
558022	558080	+	59	Amuc_0468--Amuc_0469	intergenic	intergenic	-	-
558525	558747	+	223	Amuc_0469--Amuc_0470	intergenic	intergenic	-	-
559903	559999	+	97	Amuc_0470--Amuc_0471	intergenic	intergenic	-	-
560684	560764	+	81	Amuc_0471--Amuc_0472	intergenic	intergenic	-	-
561887	561939	+	53	Amuc_0472--Amuc_0473	intergenic	intergenic	-	-
564182	564182	+	1	Amuc_0474--Amuc_0475	intergenic	intergenic	-	-
564759	564794	+	36	Amuc_0475--Amuc_0476	intergenic	intergenic	-	-
565710	565788	+	79	Amuc_0476--Amuc_0477	intergenic	intergenic	-	-
566074	566177	+	104	Amuc_0477--Amuc_0478	intergenic	intergenic	-	-
567105	567155	+	51	Amuc_0478--Amuc_0479	intergenic	intergenic	-	-
568617	568820	+	204	Amuc_0479--Amuc_0480	intergenic	intergenic	-	-
571206	571229	+	24	Amuc_0480--Amuc_0481	intergenic	intergenic	-	-
572513	572520	+	8	Amuc_0482--Amuc_0483	intergenic	intergenic	-	-
572971	573058	+	88	Amuc_0483--Amuc_0484	intergenic	intergenic	-	-
573377	573402	+	26	Amuc_0484--Amuc_0485	intergenic	intergenic	-	-
573667	573821	+	155	Amuc_0485--Amuc_0486	intergenic	intergenic	-	-
574263	574277	+	15	Amuc_0486--Amuc_0487	intergenic	intergenic	-	-
575037	575059	+	23	Amuc_0487--Amuc_0488	intergenic	intergenic	-	-
576497	576507	+	11	Amuc_0488--Amuc_0489	intergenic	intergenic	-	-
577762	577802	+	41	Amuc_0489--Amuc_0490	intergenic	intergenic	-	-
580062	580885	+	824	Amuc_0490--Amuc_0491	intergenic	intergenic	-	-
582389	582472	+	84	Amuc_0491--Amuc_0492	intergenic	intergenic	-	-
583439	583466	+	28	Amuc_0492--Amuc_0493	intergenic	intergenic	-	-
584817	585229	+	413	Amuc_0493--Amuc_0494	intergenic	intergenic	-	-
585806	585835	+	30	Amuc_0494--Amuc_0495	intergenic	intergenic	-	-
586967	587033	+	67	Amuc_0495--Amuc_0496	intergenic	intergenic	-	-
588831	588958	+	128	Amuc_0496--Amuc_0497	intergenic	intergenic	-	-
589635	589660	+	26	Amuc_0498--Amuc_0499	intergenic	intergenic	-	-
592233	592353	+	121	Amuc_0501--Amuc_0502	intergenic	intergenic	-	-
593476	593651	+	176	Amuc_0502--Amuc_0503	intergenic	intergenic	-	-
594165	594246	+	82	Amuc_0503--Amuc_0504	intergenic	intergenic	-	-
595230	595252	+	23	Amuc_0505--Amuc_0506	intergenic	intergenic	-	-
596675	596748	+	74	Amuc_0506--Amuc_0507	intergenic	intergenic	-	-
597622	597642	+	21	Amuc_0507--Amuc_0508	intergenic	intergenic	-	-
599176	599191	+	16	Amuc_0508--Amuc_0509	intergenic	intergenic	-	-
599600	599606	+	7	Amuc_0509--Amuc_0510	intergenic	intergenic	-	-
600135	600236	+	102	Amuc_0510--Amuc_0511	intergenic	intergenic	-	-
600501	600540	+	40	Amuc_0511--Amuc_0512	intergenic	intergenic	-	-
601480	601744	+	265	Amuc_0512--Amuc_0513	intergenic	intergenic	-	-
603947	604238	+	292	Amuc_0513--Amuc_0514	intergenic	intergenic	-	-
606708	606766	+	59	Amuc_0514--Amuc_0515	intergenic	intergenic	-	-
607397	607526	+	130	Amuc_0515--Amuc_0516	intergenic	intergenic	-	-
608640	608886	+	247	Amuc_0516--Amuc_0517	intergenic	intergenic	-	-
610915	610953	+	39	Amuc_0517--Amuc_0518	intergenic	intergenic	-	-
611875	611932	+	58	Amuc_0518--Amuc_0519	intergenic	intergenic	-	-
612809	612873	+	65	Amuc_0519--Amuc_0520	intergenic	intergenic	-	-
613807	613854	+	48	Amuc_0520--Amuc_0521	intergenic	intergenic	-	-
614404	614417	+	14	Amuc_0521--Amuc_0522	intergenic	intergenic	-	-
615198	615233	+	36	Amuc_0522--Amuc_0523	intergenic	intergenic	-	-
616206	616319	+	114	Amuc_0523--Amuc_0524	intergenic	intergenic	-	-
617106	617111	+	6	Amuc_0524--Amuc_0525	intergenic	intergenic	-	-
618291	618415	+	125	Amuc_0525--Amuc_0526	intergenic	intergenic	-	-
618881	618952	+	72	Amuc_0526--Amuc_0527	intergenic	intergenic	-	-
619820	620028	+	209	Amuc_0527--Amuc_0528	intergenic	intergenic	-	-
622082	622490	+	409	Amuc_0529--Amuc_0530	intergenic	intergenic	-	-
624525	625015	+	491	Amuc_0530--Amuc_0531	intergenic	intergenic	-	-
626864	627106	+	243	Amuc_0531--Amuc_0532	intergenic	intergenic	-	-
627818	627834	+	17	Amuc_0532--Amuc_0533	intergenic	intergenic	-	-
628339	628359	+	21	Amuc_0533--Amuc_0534	intergenic	intergenic	-	-
630763	630810	+	48	Amuc_0534--Amuc_0535	intergenic	intergenic	-	-
631519	631558	+	40	Amuc_0535--Amuc_0536	intergenic	intergenic	-	-
632339	632465	+	127	Amuc_0536--Amuc_0537	intergenic	intergenic	-	-
633546	633837	+	292	Amuc_0537--Amuc_0538	intergenic	intergenic	-	-
634312	634324	+	13	Amuc_0538--Amuc_0539	intergenic	intergenic	-	-
637067	637336	+	270	Amuc_0539--Amuc_0540	intergenic	intergenic	-	-
638369	638612	+	244	Amuc_0540--Amuc_0541	intergenic	intergenic	-	-
640161	640224	+	64	Amuc_0541--Amuc_0542	intergenic	intergenic	-	-
641347	641819	+	473	Amuc_0542--Amuc_0543	intergenic	intergenic	-	-
642843	642889	+	47	Amuc_0543--Amuc_0544	intergenic	intergenic	-	-
646124	646472	+	349	Amuc_0544--Amuc_0545	intergenic	intergenic	-	-
647094	647271	+	178	Amuc_0545--Amuc_0546	intergenic	intergenic	-	-
647731	647741	+	11	Amuc_0546--Amuc_0547	intergenic	intergenic	-	-
648249	648326	+	78	Amuc_0547--Amuc_0548	intergenic	intergenic	-	-
649119	649210	+	92	Amuc_0548--Amuc_0549	intergenic	intergenic	-	-
649850	649936	+	87	Amuc_0549--Amuc_0550	intergenic	intergenic	-	-
650609	651510	+	902	Amuc_0550--Amuc_0551	intergenic	intergenic	-	-
652486	652488	+	3	Amuc_0551--Amuc_0552	intergenic	intergenic	-	-
653275	653426	+	152	Amuc_0552--Amuc_0553	intergenic	intergenic	-	-
653784	653805	+	22	Amuc_0553--Amuc_0554	intergenic	intergenic	-	-
654451	654454	+	4	Amuc_0554--Amuc_0555	intergenic	intergenic	-	-
655787	655925	+	139	Amuc_0555--Amuc_0556	intergenic	intergenic	-	-
656187	656258	+	72	Amuc_0556--Amuc_0557	intergenic	intergenic	-	-
656529	656939	+	411	Amuc_0557--Amuc_0558	intergenic	intergenic	-	-
657165	657463	+	299	Amuc_0558--Amuc_0559	intergenic	intergenic	-	-
658757	658857	+	101	Amuc_0559--Amuc_0560	intergenic	intergenic	-	-
660315	660400	+	86	Amuc_0560--Amuc_0561	intergenic	intergenic	-	-
661640	661691	+	52	Amuc_0561--Amuc_0562	intergenic	intergenic	-	-
662457	662603	+	147	Amuc_0562--Amuc_0563	intergenic	intergenic	-	-
663288	663417	+	130	Amuc_0563--Amuc_0564	intergenic	intergenic	-	-
664030	664188	+	159	Amuc_0564--Amuc_0565	intergenic	intergenic	-	-
665818	665893	+	76	Amuc_0565--Amuc_0566	intergenic	intergenic	-	-
666011	666398	+	388	Amuc_0566--Amuc_0567	intergenic	intergenic	-	-
667290	667531	+	242	Amuc_0567--Amuc_R0021	intergenic	intergenic	-	-
667608	667692	+	85	Amuc_R0021--Amuc_0568	intergenic	intergenic	-	-
668125	668163	+	39	Amuc_0568--Amuc_0569	intergenic	intergenic	-	-
668914	668944	+	31	Amuc_0569--Amuc_0570	intergenic	intergenic	-	-
669248	669332	+	85	Amuc_0570--Amuc_0571	intergenic	intergenic	-	-
670143	670154	+	12	Amuc_0571--Amuc_0572	intergenic	intergenic	-	-
670485	670609	+	125	Amuc_0572--Amuc_0573	intergenic	intergenic	-	-
671669	672243	+	575	Amuc_0573--Amuc_0574	intergenic	intergenic	-	-
672964	672994	+	31	Amuc_0574--Amuc_0575	intergenic	intergenic	-	-
674201	674409	+	209	Amuc_0575--Amuc_0576	intergenic	intergenic	-	-
678739	678864	+	126	Amuc_0576--Amuc_0577	intergenic	intergenic	-	-
679399	679431	+	33	Amuc_0577--Amuc_0578	intergenic	intergenic	-	-
680935	681472	+	538	Amuc_0578--Amuc_0579	intergenic	intergenic	-	-
681620	681888	+	269	Amuc_0579--Amuc_0580	intergenic	intergenic	-	-
682033	682233	+	201	Amuc_0580--Amuc_0581	intergenic	intergenic	-	-
683116	683209	+	94	Amuc_0581--Amuc_0582	intergenic	intergenic	-	-
683945	684179	+	235	Amuc_0582--Amuc_0583	intergenic	intergenic	-	-
684750	684888	+	139	Amuc_0583--Amuc_0584	intergenic	intergenic	-	-
691798	692172	+	375	Amuc_0584--Amuc_R0022	intergenic	intergenic	-	-
692251	692336	+	86	Amuc_R0022--Amuc_0585	intergenic	intergenic	-	-
693954	694019	+	66	Amuc_0585--Amuc_0586	intergenic	intergenic	-	-
694590	694692	+	103	Amuc_0586--Amuc_0587	intergenic	intergenic	-	-
696007	696015	+	9	Amuc_0587--Amuc_0588	intergenic	intergenic	-	-
696148	696355	+	208	Amuc_0588--Amuc_0589	intergenic	intergenic	-	-
698939	699072	+	134	Amuc_0589--Amuc_0590	intergenic	intergenic	-	-
700456	700655	+	200	Amuc_0590--Amuc_0591	intergenic	intergenic	-	-
702406	702449	+	44	Amuc_0592--Amuc_0593	intergenic	intergenic	-	-
704292	704429	+	138	Amuc_0593--Amuc_0594	intergenic	intergenic	-	-
705680	705695	+	16	Amuc_0595--Amuc_0596	intergenic	intergenic	-	-
706752	706805	+	54	Amuc_0596--Amuc_0597	intergenic	intergenic	-	-
707313	707472	+	160	Amuc_0597--Amuc_0598	intergenic	intergenic	-	-
708169	708311	+	143	Amuc_0598--Amuc_0599	intergenic	intergenic	-	-
709644	709685	+	42	Amuc_0599--Amuc_0600	intergenic	intergenic	-	-
710835	711254	+	420	Amuc_0600--Amuc_0601	intergenic	intergenic	-	-
711891	711902	+	12	Amuc_0601--Amuc_0602	intergenic	intergenic	-	-
713973	714134	+	162	Amuc_0604--Amuc_0605	intergenic	intergenic	-	-
715077	715154	+	78	Amuc_0605--Amuc_0606	intergenic	intergenic	-	-
715458	715722	+	265	Amuc_0606--Amuc_0607	intergenic	intergenic	-	-
716485	716502	+	18	Amuc_0607--Amuc_0608	intergenic	intergenic	-	-
717205	717233	+	29	Amuc_0608--Amuc_0609	intergenic	intergenic	-	-
717750	717767	+	18	Amuc_0609--Amuc_0610	intergenic	intergenic	-	-
718719	718781	+	63	Amuc_0610--Amuc_0611	intergenic	intergenic	-	-
719274	719359	+	86	Amuc_0611--Amuc_0612	intergenic	intergenic	-	-
720329	720389	+	61	Amuc_0612--Amuc_0613	intergenic	intergenic	-	-
720906	720917	+	12	Amuc_0613--Amuc_0614	intergenic	intergenic	-	-
721725	721978	+	254	Amuc_0614--Amuc_0615	intergenic	intergenic	-	-
725174	725314	+	141	Amuc_0615--Amuc_0616	intergenic	intergenic	-	-
726095	726217	+	123	Amuc_0616--Amuc_0617	intergenic	intergenic	-	-
726824	726874	+	51	Amuc_0617--Amuc_0618	intergenic	intergenic	-	-
727789	727942	+	154	Amuc_0619--Amuc_0620	intergenic	intergenic	-	-
729878	729944	+	67	Amuc_0620--Amuc_0621	intergenic	intergenic	-	-
730281	730592	+	312	Amuc_0621--Amuc_0622	intergenic	intergenic	-	-
731307	731324	+	18	Amuc_0622--Amuc_0623	intergenic	intergenic	-	-
732636	732650	+	15	Amuc_0623--Amuc_0624	intergenic	intergenic	-	-
733839	733947	+	109	Amuc_0624--Amuc_0625	intergenic	intergenic	-	-
735208	735209	+	2	Amuc_0625--Amuc_0626	intergenic	intergenic	-	-
735501	735566	+	66	Amuc_0626--Amuc_0627	intergenic	intergenic	-	-
737088	737727	+	640	Amuc_0627--Amuc_0628	intergenic	intergenic	-	-
738454	738551	+	98	Amuc_0628--Amuc_R0023	intergenic	intergenic	-	-
738643	739339	+	697	Amuc_R0023--Amuc_0629	intergenic	intergenic	-	-
740360	740480	+	121	Amuc_0629--Amuc_0630	intergenic	intergenic	-	-
741501	741528	+	28	Amuc_0630--Amuc_0631	intergenic	intergenic	-	-
742660	742966	+	307	Amuc_0631--Amuc_0632	intergenic	intergenic	-	-
744032	744586	+	555	Amuc_0632--Amuc_0633	intergenic	intergenic	-	-
746569	746796	+	228	Amuc_0634--Amuc_0635	intergenic	intergenic	-	-
748045	748097	+	53	Amuc_0635--Amuc_0636	intergenic	intergenic	-	-
749661	750078	+	418	Amuc_0636--Amuc_0637	intergenic	intergenic	-	-
751240	751261	+	22	Amuc_0637--Amuc_0638	intergenic	intergenic	-	-
753025	753070	+	46	Amuc_0639--Amuc_0640	intergenic	intergenic	-	-
754896	754978	+	83	Amuc_0641--Amuc_0642	intergenic	intergenic	-	-
757450	757835	+	386	Amuc_0643--Amuc_0644	intergenic	intergenic	-	-
760256	760400	+	145	Amuc_0645--Amuc_0646	intergenic	intergenic	-	-
761259	761283	+	25	Amuc_0646--Amuc_0647	intergenic	intergenic	-	-
761938	761965	+	28	Amuc_0647--Amuc_0648	intergenic	intergenic	-	-
762746	762901	+	156	Amuc_0648--Amuc_0649	intergenic	intergenic	-	-
763358	763366	+	9	Amuc_0649--Amuc_0650	intergenic	intergenic	-	-
764930	764951	+	22	Amuc_0650--Amuc_0651	intergenic	intergenic	-	-
765297	765312	+	16	Amuc_0651--Amuc_0652	intergenic	intergenic	-	-
767413	767419	+	7	Amuc_0652--Amuc_0653	intergenic	intergenic	-	-
768926	768947	+	22	Amuc_0653--Amuc_0654	intergenic	intergenic	-	-
770322	770326	+	5	Amuc_0654--Amuc_0655	intergenic	intergenic	-	-
771431	771442	+	12	Amuc_0655--Amuc_0656	intergenic	intergenic	-	-
772754	772776	+	23	Amuc_0656--Amuc_0657	intergenic	intergenic	-	-
773578	773601	+	24	Amuc_0657--Amuc_0658	intergenic	intergenic	-	-
778156	778177	+	22	Amuc_0660--Amuc_0661	intergenic	intergenic	-	-
779114	779211	+	98	Amuc_0661--Amuc_0662	intergenic	intergenic	-	-
780112	780337	+	226	Amuc_0662--Amuc_0663	intergenic	intergenic	-	-
781379	781537	+	159	Amuc_0663--Amuc_0664	intergenic	intergenic	-	-
782558	782592	+	35	Amuc_0664--Amuc_0665	intergenic	intergenic	-	-
783232	783433	+	202	Amuc_0665--Amuc_0666	intergenic	intergenic	-	-
784847	784865	+	19	Amuc_0666--Amuc_0667	intergenic	intergenic	-	-
785475	785518	+	44	Amuc_0667--Amuc_0668	intergenic	intergenic	-	-
786641	786681	+	41	Amuc_0668--Amuc_0669	intergenic	intergenic	-	-
788257	788261	+	5	Amuc_0669--Amuc_0670	intergenic	intergenic	-	-
789843	789879	+	37	Amuc_0670--Amuc_0671	intergenic	intergenic	-	-
791044	791572	+	529	Amuc_0671--Amuc_0672	intergenic	intergenic	-	-
792359	792891	+	533	Amuc_0672--Amuc_0673	intergenic	intergenic	-	-
793771	793799	+	29	Amuc_0673--Amuc_0674	intergenic	intergenic	-	-
794496	794733	+	238	Amuc_0674--Amuc_0675	intergenic	intergenic	-	-
795454	795776	+	323	Amuc_0675--Amuc_0676	intergenic	intergenic	-	-
797069	797080	+	12	Amuc_0677--Amuc_0678	intergenic	intergenic	-	-
798784	798803	+	20	Amuc_0679--Amuc_0680	intergenic	intergenic	-	-
799689	799713	+	25	Amuc_0680--Amuc_0681	intergenic	intergenic	-	-
801097	801120	+	24	Amuc_0681--Amuc_0682	intergenic	intergenic	-	-
802441	802522	+	82	Amuc_0682--Amuc_0683	intergenic	intergenic	-	-
804533	804968	+	436	Amuc_0683--Amuc_0684	intergenic	intergenic	-	-
805335	805479	+	145	Amuc_0684--Amuc_0685	intergenic	intergenic	-	-
805984	806101	+	118	Amuc_0685--Amuc_0686	intergenic	intergenic	-	-
808634	809147	+	514	Amuc_0686--Amuc_0687	intergenic	intergenic	-	-
812283	812609	+	327	Amuc_0687--Amuc_0688	intergenic	intergenic	-	-
813351	813514	+	164	Amuc_0688--Amuc_0689	intergenic	intergenic	-	-
814886	814990	+	105	Amuc_0689--Amuc_0690	intergenic	intergenic	-	-
816272	816497	+	226	Amuc_0690--Amuc_0691	intergenic	intergenic	-	-
816816	816853	+	38	Amuc_0691--Amuc_0692	intergenic	intergenic	-	-
817193	817719	+	527	Amuc_0692--Amuc_0693	intergenic	intergenic	-	-
818401	818415	+	15	Amuc_0693--Amuc_0694	intergenic	intergenic	-	-
819601	819619	+	19	Amuc_0694--Amuc_0695	intergenic	intergenic	-	-
820847	820849	+	3	Amuc_0695--Amuc_0696	intergenic	intergenic	-	-
823246	823265	+	20	Amuc_0697--Amuc_0698	intergenic	intergenic	-	-
825285	825434	+	150	Amuc_0700--Amuc_0701	intergenic	intergenic	-	-
826359	826476	+	118	Amuc_0701--Amuc_0702	intergenic	intergenic	-	-
827500	827880	+	381	Amuc_0702--Amuc_0703	intergenic	intergenic	-	-
828955	829283	+	329	Amuc_0703--Amuc_0704	intergenic	intergenic	-	-
830538	830556	+	19	Amuc_0704--Amuc_0705	intergenic	intergenic	-	-
832129	832272	+	144	Amuc_0705--Amuc_0706	intergenic	intergenic	-	-
833323	833428	+	106	Amuc_0706--Amuc_0707	intergenic	intergenic	-	-
834113	834203	+	91	Amuc_0707--Amuc_0708	intergenic	intergenic	-	-
836184	836234	+	51	Amuc_0708--Amuc_0709	intergenic	intergenic	-	-
836991	837526	+	536	Amuc_0709--Amuc_0710	intergenic	intergenic	-	-
838958	839063	+	106	Amuc_0710--Amuc_0711	intergenic	intergenic	-	-
840810	841326	+	517	Amuc_0711--Amuc_0712	intergenic	intergenic	-	-
842002	842049	+	48	Amuc_0712--Amuc_0713	intergenic	intergenic	-	-
843040	843133	+	94	Amuc_0713--Amuc_0714	intergenic	intergenic	-	-
844184	844237	+	54	Amuc_0714--Amuc_0715	intergenic	intergenic	-	-
844880	844985	+	106	Amuc_0715--Amuc_0716	intergenic	intergenic	-	-
845769	845809	+	41	Amuc_0716--Amuc_0717	intergenic	intergenic	-	-
847115	847266	+	152	Amuc_0717--Amuc_0718	intergenic	intergenic	-	-
847933	847991	+	59	Amuc_0718--Amuc_0719	intergenic	intergenic	-	-
849105	849107	+	3	Amuc_0719--Amuc_0720	intergenic	intergenic	-	-
850398	850691	+	294	Amuc_0720--Amuc_0721	intergenic	intergenic	-	-
851724	852108	+	385	Amuc_0721--Amuc_0722	intergenic	intergenic	-	-
853945	854151	+	207	Amuc_0722--Amuc_0723	intergenic	intergenic	-	-
855019	855307	+	289	Amuc_0723--Amuc_0724	intergenic	intergenic	-	-
856181	856365	+	185	Amuc_0724--Amuc_0725	intergenic	intergenic	-	-
856915	856938	+	24	Amuc_0725--Amuc_0726	intergenic	intergenic	-	-
857536	857842	+	307	Amuc_0726--Amuc_0727	intergenic	intergenic	-	-
857963	858402	+	440	Amuc_0727--Amuc_0728	intergenic	intergenic	-	-
859474	859505	+	32	Amuc_0728--Amuc_0729	intergenic	intergenic	-	-
860664	860790	+	127	Amuc_0729--Amuc_0730	intergenic	intergenic	-	-
861817	861864	+	48	Amuc_0730--Amuc_0731	intergenic	intergenic	-	-
862906	863212	+	307	Amuc_0731--Amuc_0732	intergenic	intergenic	-	-
863870	864104	+	235	Amuc_0732--Amuc_0733	intergenic	intergenic	-	-
864575	864886	+	312	Amuc_0733--Amuc_0734	intergenic	intergenic	-	-
865403	865443	+	41	Amuc_0734--Amuc_0735	intergenic	intergenic	-	-
